stop_id,stop_name,stop_lat,stop_lon
1_3294,стадіон Спартак,50.48514938354492,30.474058151245117
1_332,стадіон Спартак,50.485469818115234,30.473888397216797
1_335,стадіон Спартак,50.48519515991211,30.474061965942383
1_345,стадіон Спартак,50.48565673828125,30.473459243774414
1_348,стадіон Спартак,50.48545455932617,30.473909378051758
1_4336,Усенка 2,50.4461555480957,30.632022857666016
1_4340,Усенка 2,50.44614791870117,30.632049560546875
1_445,Харківський масив,50.412471771240234,30.643138885498047
1_452,Харківський масив,50.41250991821289,30.643102645874023
2_4469,Багринова гора,50.3796272277832,30.534378051757812
2_4472,Багринова гора,50.37949752807617,30.534305572509766
2_6170,Багринова гора,50.379276275634766,30.534366607666016
2_6171,Багринова гора,50.38021469116211,30.534015655517578
2_243,Ботанічний сад,50.415706634521484,30.55620574951172
2_5617,Ботанічний сад,50.41559982299805,30.556589126586914
2_4759,Варш мкр,50.50522232055664,30.419389724731445
2_242,Військовий шпиталь,50.43012237548828,30.53544807434082
2_29,вул. Білицька,50.489013671875,30.42253875732422
2_36,вул. Білицька,50.488616943359375,30.424110412597656
2_180,вул. Борщагівська,50.443336486816406,30.442230224609375
2_4348,вул. Борщагівська,50.44432067871094,30.44225311279297
2_5923,вул. Борщагівська,50.44207763671875,30.443044662475586
2_5926,вул. Борщагівська,50.442813873291016,30.442752838134766
2_6934,вул. Борщагівська,50.44370651245117,30.44242286682129
2_6935,вул. Борщагівська,50.443458557128906,30.442155838012695
2_8413,вул. Борщагівська,50.44283676147461,30.442718505859375
2_8414,вул. Борщагівська,50.44218444824219,30.442800521850586
2_127,вул. Братиславська,50.4783935546875,30.61842155456543
2_130,вул. Братиславська,50.4784049987793,30.618181228637695
2_5021,вул. В. Брожка,50.40847396850586,30.491802215576172
2_5028,вул. В. Брожка,50.4078369140625,30.493976593017578
2_91,вул. Вишгородська (24),50.505897521972656,30.449779510498047
2_188,вул. Воробйова,50.43389129638672,30.471235275268555
2_198,вул. Воробйова,50.433860778808594,30.471284866333008
2_204,вул. Воробйова,50.43440628051758,30.47171974182129
2_9774,вул. Воробйова,50.43351745605469,30.470945358276367
2_24,вул. Героїв Космосу,50.43807601928711,30.387372970581055
2_264,вул. Гуменної,50.38264083862305,30.452129364013672
2_267,вул. Гуменної,50.382450103759766,30.45253562927246
2_4452,вул. Гуменної,50.382232666015625,30.45278549194336
2_4453,вул. Гуменної,50.38216781616211,30.452585220336914
2_8118,вул. Дегтярівська,50.462162017822266,30.447017669677734
2_8121,вул. Дегтярівська,50.46144104003906,30.447328567504883
2_4699,вул. Жилянська,50.43363571166992,30.513492584228516
2_191,вул. Жилянська 1,50.434566497802734,30.513460159301758
2_5545,вул. Жилянська 1,50.43522262573242,30.51355743408203
2_5546,вул. Жилянська 1,50.43473815917969,30.51352882385254
2_93,вул. Івашкевича (24),50.505531311035156,30.45147705078125
2_8032,вул. Йорданська,50.49489974975586,30.507335662841797
2_125,вул. Милославська (37),50.53139877319336,30.598726272583008
2_131,вул. Милославська (37),50.53199768066406,30.598878860473633
2_142,вул. Милославська (37),50.53142547607422,30.598649978637695
2_149,вул. Милославська (37),50.53156280517578,30.598962783813477
2_118,вул. Милославська. (30),50.527435302734375,30.620296478271484
2_124,вул. Милославська. (30),50.527549743652344,30.620014190673828
2_5360,вул. Милославська. (30),50.52717971801758,30.619890213012695
2_5368,вул. Милославська. (30),50.526309967041016,30.62010955810547
2_5371,вул. Милославська. (30),50.52800369262695,30.620338439941406
2_5378,вул. Милославська. (30),50.52783966064453,30.62030029296875
2_5699,вул. Милославська. (30),50.527549743652344,30.620014190673828
2_5708,вул. Милославська. (30),50.527435302734375,30.620296478271484
2_6,вул. Мрії,50.48270034790039,30.39573097229004
2_7,вул. Мрії,50.484046936035156,30.395784378051758
2_7332,вул. Мрії,50.48316192626953,30.39572525024414
2_7334,вул. Мрії,50.484458923339844,30.395689010620117
2_8064,вул. О. Архипенка,50.49586486816406,30.509859085083008
2_8066,вул. О. Архипенка,50.4959716796875,30.509498596191406
2_10436,вул. Ольжича,50.4798583984375,30.444982528686523
2_10437,вул. Ольжича,50.480342864990234,30.445619583129883
2_186,вул. Ольжича,50.480308532714844,30.445659637451172
2_187,вул. Ольжича,50.479827880859375,30.444894790649414
2_9516,вул. Ольжича,50.480228424072266,30.44529151916504
2_9517,вул. Ольжича,50.4799690246582,30.44504737854004
2_103,вул. Північна,50.52824020385742,30.51662254333496
2_5744,вул. Північна,50.52750015258789,30.51634407043457
2_5745,вул. Північна,50.52748489379883,30.516429901123047
2_89,вул. Північна,50.528076171875,30.516340255737305
