shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_46_0,50.46348571777344,30.64352035522461,30,
1_46_1,50.408836364746094,30.628986358642578,30,
1_5_0,50.445068359375,30.49233627319336,30,
1_5_1,50.42487716674805,30.367984771728516,30,
1_51_0,50.46363830566406,30.643291473388672,30,
1_51_1,50.40435028076172,30.685415267944336,30,
1_667_0,50.45683670043945,30.633316040039062,30,
1_667_1,50.44871139526367,30.67750358581543,30,
1_1_0,50.44501876831055,30.49237060546875,40,
1_1_1,50.41524887084961,30.394617080688477,40,
1_36_0,50.46836853027344,30.509498596191406,40,
1_36_1,50.50111389160156,30.502498626708984,40,
1_37_0,50.46563720703125,30.517322540283203,40,
1_37_1,50.55268859863281,30.334897994995117,40,
1_38_0,50.46569061279297,30.51726722717285,40,
1_38_1,50.420047760009766,30.425121307373047,40,
1_389_0,50.501346588134766,30.50196647644043,40,
1_389_1,50.55255889892578,30.33489227294922,40,
1_39_0,50.443687438964844,30.48940658569336,40,
1_39_1,50.420047760009766,30.425121307373047,40,
1_4_0,50.42493438720703,30.368078231811523,40,
1_4_1,50.41215515136719,30.410715103149414,40,
1_40_0,50.46845245361328,30.509571075439453,40,
1_40_1,50.522621154785156,30.494197845458984,40,
1_41_0,50.44508743286133,30.49236297607422,40,
1_41_1,50.46747970581055,30.51435089111328,40,
1_42_0,50.5204963684082,30.451948165893555,40,
1_42_1,50.46836853027344,30.509498596191406,40,
1_46_0,50.46339416503906,30.64327049255371,40,
1_46_1,50.41123962402344,30.638164520263672,40,
1_5_0,50.44523620605469,30.492393493652344,40,
1_5_1,50.424922943115234,30.36819076538086,40,
1_51_0,50.4634895324707,30.643098831176758,40,
1_51_1,50.40446090698242,30.6854248046875,40,
1_667_0,50.45566177368164,30.63286781311035,40,
1_667_1,50.448936462402344,30.677017211914062,40,
1_1_0,50.44517135620117,30.492467880249023,50,
1_1_1,50.41691970825195,30.390174865722656,50,
1_36_0,50.472007751464844,30.503679275512695,50,
1_36_1,50.501346588134766,30.50196647644043,50,
1_37_0,50.465667724609375,30.517343521118164,50,
1_37_1,50.55223846435547,30.335491180419922,50,
1_38_0,50.46580505371094,30.517154693603516,50,
1_38_1,50.42063522338867,30.425342559814453,50,
1_389_0,50.50140380859375,30.493236541748047,50,
1_389_1,50.552101135253906,30.335596084594727,50,
1_39_0,50.44423294067383,30.49064064025879,50,
1_39_1,50.42063522338867,30.425342559814453,50,
1_4_0,50.42504119873047,30.368467330932617,50,
1_4_1,50.410057067871094,30.413936614990234,50,
1_40_0,50.472007751464844,30.503684997558594,50,
1_40_1,50.522377014160156,30.49373435974121,50,
1_41_0,50.44562911987305,30.491626739501953,50,
1_41_1,50.46642303466797,30.512805938720703,50,
1_42_0,50.520206451416016,30.453521728515625,50,
1_42_1,50.472007751464844,30.503679275512695,50,
1_46_0,50.46303939819336,30.643335342407227,50,
1_46_1,50.412471771240234,30.643138885498047,50,
1_5_0,50.44561004638672,30.491865158081055,50,
1_5_1,50.425079345703125,30.368776321411133,50,
1_51_0,50.462974548339844,30.6433048248291,50,
1_51_1,50.40459442138672,30.685237884521484,50,
1_667_0,50.4488639831543,30.637332916259766,50,
1_667_1,50.44887924194336,30.676542282104492,50,
1_1_0,50.44547653198242,30.49209976196289,60,
1_1_1,50.42083740234375,30.381444931030273,60,
1_36_0,50.47053146362305,30.50150489807129,60,
1_36_1,50.50140380859375,30.493236541748047,60,
1_37_0,50.46572494506836,30.517318725585938,60,
1_37_1,50.545265197753906,30.344728469848633,60,
1_38_0,50.466590881347656,30.515775680541992,60,
1_38_1,50.42176055908203,30.425853729248047,60,
1_389_0,50.50129318237305,30.492300033569336,60,
1_389_1,50.53525924682617,30.3580265045166,60,
1_39_0,50.445091247558594,30.492431640625,60,
1_39_1,50.42176055908203,30.425853729248047,60,
1_4_0,50.42526626586914,30.369348526000977,60,
1_4_1,50.40863800048828,30.41185188293457,60,
1_40_0,50.470558166503906,30.50160026550293,60,
1_40_1,50.52021408081055,30.491519927978516,60,
1_41_0,50.44599151611328,30.490800857543945,60,
1_41_1,50.46636199951172,30.512392044067383,60,
1_42_0,50.51789855957031,30.45438003540039,60,
1_42_1,50.47053146362305,30.50150489807129,60,
1_46_0,50.46286392211914,30.643095016479492,60,
1_46_1,50.41291046142578,30.644771575927734,60,
1_5_0,50.44581985473633,30.49136734008789,60,
1_5_1,50.425296783447266,30.36956024169922,60,
1_51_0,50.462730407714844,30.642797470092773,60,
1_51_1,50.40461349487305,30.685001373291016,60,
1_667_0,50.44476318359375,30.640426635742188,60,
1_667_1,50.448326110839844,30.676084518432617,60,
1_1_0,50.44593811035156,30.491039276123047,70,
1_1_1,50.42142105102539,30.381044387817383,70,
1_36_0,50.472267150878906,30.498197555541992,70,
1_36_1,50.50129318237305,30.492300033569336,70,
1_37_0,50.469482421875,30.511234283447266,70,
1_37_1,50.54000473022461,30.35200309753418,70,
1_38_0,50.46747970581055,30.51435089111328,70,
1_38_1,50.42353820800781,30.42711639404297,70,
1_389_0,50.500850677490234,30.49093246459961,70,
1_389_1,50.53425979614258,30.356191635131836,70,
1_39_0,50.44524383544922,30.492555618286133,70,
1_39_1,50.42353820800781,30.42711639404297,70,
1_4_0,50.426513671875,30.374216079711914,70,
1_4_1,50.4080924987793,30.41046142578125,70,
1_40_0,50.47230911254883,30.498079299926758,70,
1_40_1,50.51835632324219,30.489765167236328,70,
1_41_0,50.44608688354492,30.49032974243164,70,
1_41_1,50.46529006958008,30.510683059692383,70,
1_42_0,50.51610565185547,30.454984664916992,70,
1_42_1,50.472267150878906,30.498197555541992,70,
1_46_0,50.46268081665039,30.642486572265625,70,
1_46_1,50.41312026977539,30.64552116394043,70,
1_5_0,50.44593811035156,30.49100685119629,70,
1_5_1,50.42546463012695,30.37019920349121,70,
1_51_0,50.462459564208984,30.64183807373047,70,
1_51_1,50.4046516418457,30.684555053710938,70,
1_667_0,50.44218444824219,30.642322540283203,70,
1_667_1,50.4481201171875,30.675600051879883,70,
1_1_0,50.446266174316406,30.489704132080078,80,
1_1_1,50.42318344116211,30.383567810058594,80,
1_36_0,50.47434997558594,30.492897033691406,80,
1_36_1,50.500850677490234,30.49093246459961,80,
1_37_0,50.46836853027344,30.509498596191406,80,
1_37_1,50.53702926635742,30.356063842773438,80,
1_38_0,50.46642303466797,30.512805938720703,80,
1_38_1,50.42454528808594,30.422706604003906,80,
1_389_0,50.5002326965332,30.489246368408203,80,
1_389_1,50.532718658447266,30.358261108398438,80,
1_39_0,50.4453239440918,30.492412567138672,80,
1_39_1,50.42454528808594,30.422706604003906,80,
1_4_0,50.4274787902832,30.37793731689453,80,
