name,geometry
Проспект Академіка Корольова,"LINESTRING (30.4103399 50.4125198, 30.4102883 50.4125971, 30.410265 50.4126841)"
Повітрофлотська (не працює),"LINESTRING (30.4791676 50.4473845, 30.4801911 50.4472237)"
Повітрофлотська (не працює),"LINESTRING (30.4791934 50.4474415, 30.4801963 50.4472854)"
Милославська,"LINESTRING (30.6094243 50.5294199, 30.6094994 50.5301624)"
Олександри Екстер,"LINESTRING (30.6087202 50.5232021, 30.6087577 50.5235147, 30.6088141 50.5239848)"
Сержа Лифаря,"LINESTRING (30.6048229 50.5166722, 30.6055257 50.517351)"
Рональда Рейгана,"LINESTRING (30.5944959 50.5109278, 30.594991 50.5110946, 30.5954707 50.5112567)"
Каштанова,"LINESTRING (30.5827886 50.505882, 30.5833823 50.5062872, 30.5835959 50.506433)"
Романа Шухевича,"LINESTRING (30.5745287 50.495218, 30.5746608 50.495777)"
Романа Шухевича,"LINESTRING (30.5744804 50.4957864, 30.5743234 50.4952283)"
Каштанова,"LINESTRING (30.5834806 50.5064978, 30.583255 50.5063471, 30.5826625 50.5059511)"
Рональда Рейгана,"LINESTRING (30.5944257 50.5110069, 30.5949206 50.511175, 30.5954001 50.511337)"
Сержа Лифаря,"LINESTRING (30.6053781 50.5173936, 30.6046848 50.5167242)"
Олександри Екстер,"LINESTRING (30.6086531 50.5239899, 30.6085931 50.5235244, 30.6085566 50.5232413)"
Милославська,"LINESTRING (30.609329 50.5301582, 30.609258 50.5294207)"
Поліклініка,"LINESTRING (30.6281421 50.5234374, 30.6281072 50.5231023)"
