route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3_8,31725604,103,проспект Свободи - вулиця Академіка Євремова,"Автобус розпочинає руз із житлового масиву Виноградор, рухається поруч із ст. м.  «Академмістечко» та прибуває до вул. Чорнобильської. Тривалість маршруту 40 хв. Частота відправлення автобусів 28-43 хв.",3,https://kpt.kyiv.ua/schedule/bus/103,,
3_81,31725604,39,Станція метро «Голосіївська» - Вулиця Ракетна (селище Жовтневе),Автобус розпочинає рух із ст.м. «Голосіївська» та прибуває  до вул. Ракетної (селище Жовтневе). Тривалість маршруту 14 хв. Частота відправлення автобусів 36хв.,3,https://kpt.kyiv.ua/schedule/bus/39,,
3_86,31725604,41,Станція метро «Героїв Дніпра»  - селище ДВС,Автобус розпочинає рух із селлища ДВС  та прибуває до ст.м.  «Героїв Дніпра». Тривалість маршруту 22 хв. Частота відправлення автобусів 30-60хв.,3,https://kpt.kyiv.ua/schedule/bus/41,,
3_87,31725604,42,Вулиця Митрополита А. Шептицького - Вулиця Єлизавети Чавдар,"Автобус розпочинає рух із зупинки громадського транспорту  «Дарницький універмаг», рухається поруч із ст.м. «Осокорки», ст.м. «Лівобережна» та прибуває до вул. Єлізавети Чавдар. Тривалість маршруту  66 хв. Частота відправлення автобусів 21-35 хв.",3,https://kpt.kyiv.ua/schedule/bus/42,,
3_89,31725604,43,Станція метро «Видубичi» - селище  Козин,Автобус розпочинає рух із ст.м. «Видубичі» та прибуває  до селища Козин. Тривалість  маршруту 39 хв. Частота відправлення автобусів 28-43 хв.,3,https://kpt.kyiv.ua/schedule/bus/43,,
3_9,31725604,104,Станція метро «Харківська» - Мікрорайон  «Бортничі»,"Автобус розпочинає рух із ст.м. «Харківська», рухається поруч із ст.м. «Бориспільська» до мікрорайону Бортничі. Тривалість маршруту 33 хв. Частота відправлення автобусів 18-23 хв.",3,https://kpt.kyiv.ua/schedule/bus/104,,
3_90,31725604,43к,Станція метро «Видубичi» - санаторій «Конча-Заспа»,Автобус розпочинає рух із ст.м. «Видубичі» та прибуває до санаторію «Конча-Заспа». Тривалість маршруту 23 хв. Частота відправлення автобусів 28 хв.,3,https://kpt.kyiv.ua/schedule/bus/43%D0%BA,,
3_93,31725604,45,Проспект Григоренка - Станція метро «Дарниця»,"Автобус розпочинає рух з просп. Петра Григоренка, рухається поруч із ст.м. «Харківська» до ст. м. «Дарниця». Тривалість маршруту  49 хв. Частота відправлення 21-35 хв.",3,https://kpt.kyiv.ua/schedule/bus/45,,
3_96,31725604,46,Вулиця Микитенка - Станція метро «Лівобережна»,Автобус розпочинає рух із вул. Івана Микитенка та прибуває до ст.м. «Лівобережна». Тривалість маршруту 30 хв.Частота відправлення 20хв.,3,https://kpt.kyiv.ua/schedule/bus/46,,
3_98,31725604,47,Станція метро «Нивки» - Станція метро «Дорогожичі»,"автобус розпочинає рух із ст.м. «Нивки», рухається поруч ст.м. «Сирець» до ст.м. «Дорогожичі».  Тривалість маршруту 26 хв. Частота відправлення автобусів 30-60хв.",3,https://kpt.kyiv.ua/schedule/bus/47,,
3_99,31725604,48,Станція метро «Лівобережна»  -  готель «Славутич»,Автобус розпочинає рух із ст.м. « Лівобережна» та прибуває  до готелю «Славутич». Тривалість маршруту 12 хв. Частота відправлення автобусів 15хв.,3,https://kpt.kyiv.ua/schedule/bus/48,,
