name,geometry
Куренівський парк,POINT (30.470143 50.4876967)
Лісова,POINT (30.3855936 50.524065)
Лісова,POINT (30.3854267 50.524048)
Лісництво,POINT (30.4447066 50.5272458)
Лісництво,POINT (30.4447105 50.5272709)
Вулиця Лугова,POINT (30.4590524 50.5046712)
Вулиця Лугова,POINT (30.458856 50.5051393)
Нижній Вал,POINT (30.5121342 50.4667769)
Вулиця Миколи Гулака,POINT (30.4549048 50.5160462)
Вулиця Оболонська,POINT (30.5054945 50.4686135)
вул. Оболонська,POINT (30.5067886 50.4701165)
Вулиця Пущаводицька,POINT (30.4479574 50.5237149)
Парк «Пуща-Водиця»,POINT (30.355495 50.5349089)
Парк «Пуща-Водиця»,POINT (30.3554038 50.5350308)
Пивзавод,POINT (30.4994539 50.4716262)
Пивзавод,POINT (30.4984574 50.4721201)
Площа Тараса Шевченка,POINT (30.448753 50.5213516)
Площа Тараса Шевченка,POINT (30.4488093 50.5213544)
Петропавлівська площа,POINT (30.4619659 50.4937414)
Вулиця Пріорська,POINT (30.4573747 50.509146)
Вулиця Полярна,POINT (30.4536984 50.5194652)
Пуща-Водиця,POINT (30.3354293 50.5523505)
Гуртожиток,POINT (30.4479366 50.5235996)
Вулиця Семена Скляренка,POINT (30.4623971 50.497793)
Спецдиспансер,POINT (30.3954951 50.5262809)
Стадіон «Спартак»,POINT (30.4746717 50.4846613)
Вулиця Сирецька,POINT (30.4630206 50.4926851)
Фармак,POINT (30.4899899 50.475513)
Фармак,POINT (30.4900122 50.4755353)
вул. Щекавицька,POINT (30.5092933 50.4682491)
вул. Щекавицька,POINT (30.5099018 50.4686653)
Управління лісництвом,POINT (30.4403685 50.5273526)
Поділ Бізнес Парк,POINT (30.4866325 50.4768303)
Поділ Бізнес Парк,POINT (30.4866661 50.4768546)
1-а лінія,POINT (30.3646843 50.5281218)
1-а лінія,POINT (30.3646024 50.5281415)
11-а лінія,POINT (30.3436767 50.5462639)
11-а лінія,POINT (30.3433785 50.5464339)
13-а лінія,POINT (30.3393542 50.5494992)
13-а лінія,POINT (30.3391328 50.5496143)
Пуща-Водиця,POINT (30.336004 50.5520295)
3-я лінія,POINT (30.3607895 50.5310346)
3-я лінія,POINT (30.3604232 50.5312607)
6-а лінія,POINT (30.3555214 50.5373861)
6-а лінія,POINT (30.3553794 50.5374517)
7-а лінія,POINT (30.3522349 50.5398422)
7-а лінія,POINT (30.3517415 50.5401686)
9-а лінія,POINT (30.3479694 50.5430453)
9-а лінія,POINT (30.3475373 50.5433183)
Вулиця Автозаводська,POINT (30.4624861 50.499102)
Оболонський шляхопровід,POINT (30.4788969 50.500066)
Пожежне депо,POINT (30.4940293 50.5013117)
Станція метро «Оболонь»,POINT (30.4999438 50.5012389)
Оболонський шляхопровід,POINT (30.4782596 50.5000532)
Завод залізобетонних виробів,POINT (30.4731795 50.5000526)
Автобусний парк,POINT (30.6322668 50.4408155)
Вул. Азербайджанська,POINT (30.6388442 50.4393388)
Вул. Профспілкова,POINT (30.6506108 50.4378135)
Вулиця Гродненська,POINT (30.6467403 50.4358276)
Вул. Княгині Інгігерди,POINT (30.6424401 50.437292)
База «Укроптбакалія»,POINT (30.6625434 50.4412894)
вул. Батальйону Шейха Мансура,POINT (30.674425 50.4477138)
ДВРЗ,POINT (30.6779333 50.4489285)
Вул. Довбуша,POINT (30.6703688 50.4454894)
"Кіностудія ""Фільм Ю ЕЙ""",POINT (30.6154432 50.5038988)
Торговий комплекс,POINT (30.6109099 50.5007384)
Школа мистецтв ім. Леонтовича,POINT (30.6191053 50.5075204)
Вулиця Сержа Лифаря,POINT (30.6212783 50.5089487)
вул. Сержа Лифаря,POINT (30.6213443 50.5098475)
бул. Володимира Висоцького,POINT (30.6239775 50.5126807)
Бульвар Леоніда Бикова,POINT (30.6268503 50.5175121)
Поліклініка,POINT (30.6281572 50.523228)
СоцЗабез,POINT (30.6284591 50.5258444)
Мікрорайон №20,POINT (30.6278729 50.5291741)
Київський медичний університет. Київський коледж комп'ютерних технологій та економіки.,POINT (30.6576146 50.4304574)
Завод «Ремшляхтехніка»,POINT (30.6628717 50.4295234)
Палац культури та техніки «Дніпро»,POINT (30.6684076 50.4285387)
пров. Надії Світличної,POINT (30.6754704 50.4272932)
Вулиця Академіка Горбунова,POINT (30.6794635 50.426576)
Містечко,POINT (30.6873964 50.4251729)
Фармацевтична фірма «Дарниця»,POINT (30.6835159 50.4258575)
"Станція метро ""Героїв Дніпра""",POINT (30.4953565 50.5227853)
Вулиця Героїв Дніпра,POINT (30.4912112 50.5197496)
Вул. Героїв полку Азов,POINT (30.4897416 50.5053597)
вулиця Левка Лукʼяненка,POINT (30.4909652 50.5093539)
