name,geometry
Вулиця Генерала Алмазова,POINT (30.5426374 50.4307025)
Арсенальна вулиця,POINT (30.539839 50.42869)
площа Лесі Українки,POINT (30.5383221 50.4284164)
Вул. Добровольчих Батальйонів,POINT (30.5494482 50.4290271)
м/н Русанівка,POINT (30.5952562 50.4312538)
м/н Русанівка,POINT (30.5960233 50.4319271)
вул. Видубицька,POINT (30.5690868 50.4217791)
вул. Видубицька,POINT (30.5685925 50.4217034)
Водоканал,POINT (30.5508731 50.4272528)
Автостанція,POINT (30.6365097 50.4604669)
ст. м. «Харківська»,POINT (30.6513919 50.4008047)
ст. м. «Харківська»,POINT (30.6526531 50.4013912)
вулиця Метрологічна,POINT (30.47745 50.3397739)
Вул. Метрологічна,POINT (30.4762103 50.3563949)
вул. Милославська,POINT (30.6103809 50.5304928)
Милославська вулиця,POINT (30.6099909 50.5299566)
Вул. Володимирська,POINT (30.5101691 50.4339696)
ст. м. Площа Українських Героїв,POINT (30.5158463 50.4383418)
Станція метро «Арсенальна»,POINT (30.5447531 50.4426265)
Дніпровська набережна,POINT (30.5936941 50.4219535)
Центр надання адміністративних послуг Печерського району,POINT (30.544766 50.4361854)
Центр надання адміністративних послуг Печерського району,POINT (30.5449257 50.4371226)
Станція метро «Арсенальна»,POINT (30.5452038 50.4431269)
Вул. Болсуновська,POINT (30.5530201 50.4180368)
Вул. Болсуновська,POINT (30.5535868 50.4174916)
ст. м. «Харківська»,POINT (30.654015 50.4025663)
вулиця Тампере,POINT (30.6156908 50.4394832)
вулиця Тампере,POINT (30.6160112 50.4392664)
Вул. Булаховського,POINT (30.3342918 50.4679849)
Овочевий магазин,POINT (30.3319931 50.4731525)
Торговий центр,POINT (30.617129 50.5166019)
Супермаркет «Новус»,POINT (30.6191651 50.5214336)
вулиця Рональда Рейгана,POINT (30.6027397 50.5055894)
Кінотеатр «Флоренція»,POINT (30.6019588 50.5039565)
Мікрорайон №9,POINT (30.6149457 50.5138861)
вулиця Сержа Лифаря,POINT (30.615144 50.5136122)
вул. Сержа Лифаря,POINT (30.6114103 50.5106908)
Поліклініка,POINT (30.6129446 50.5114222)
Торговий центр,POINT (30.6180469 50.517406)
Станція метро Святошин,POINT (30.3881863 50.4579136)
вул. Депутатська,POINT (30.3780747 50.459184)
вулиця Гетьмана Кирила Розумовського,POINT (30.3752276 50.4613169)
Дитяча клінічна лікарня №5,POINT (30.3718987 50.4629582)
НДІ проблем лиття,POINT (30.367994 50.4647882)
