Тролейбус №50;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Милославська - Станція метро «Либідська»
№ випуску;Вулиця Милославська;Вулиця Сержа Лифаря;Вулиця Сержа Лифаря;Вулиця Чорних Запорожців;площа Дарницька;Площа Наводницька;Станція метро «Либідська»
7;13:53;14:06;14:21;14:37;14:54;15:01
9;14:16;14:29;14:45;15:01;15:18;15:25
1;14:40;14:53;15:09;15:25;15:42;15:49
2;15:02;15:15;15:31;15:47;16:04;16:11
3;15:24;15:37;15:52;16:08;16:25;16:32
5;15:45;15:58;16:13;16:29;16:46;16:53
11;15:55;16:08;16:24;16:40;16:57;17:04
7;16:07;16:20;16:35;16:51;17:08;17:15
8;16:21;16:34;16:50;17:06;17:23;17:30
9;16:31;16:44;17:00;17:16;17:33;17:40
10;16:42;16:55;17:11;17:27;17:44;17:51
1;16:55;17:08;17:24;17:40;17:57;18:04
6;17:06;17:19;17:35;17:51;18:08;18:15
2;17:17;17:30;17:46;18:02;18:19;18:26
4;17:30;17:43;17:59;18:15;18:32;18:39
3;17:42;17:55;18:11;18:27;18:44;18:51
5;18:02;18:15;18:31;18:47;19:04;19:11
11;18:13;18:26;18:42;18:58;19:15;19:22
7;18:24;18:37;18:53;19:09;19:26;19:33
8;18:38;18:51;19:07;19:23;19:40;19:47
10;18:58;19:11;19:27;19:43;20:00;20:07
6;19:21;19:34;19:50;20:06;20:22;20:29
9;19:37;19:50;20:06;20:22;20:39;20:46
1;20:00;20:13;20:29;20:45;21:02;21:09
2;20:22;20:35;20:51;21:07;21:23;21:30
3;20:44;20:57;21:13;21:29;21:45;21:52
5;21:05;21:18;21:33;21:48;22:04;22:11
7;21:30;21:43;21:58;22:13;22:29;22:36
